instrument,recalibration_days,position_mode,confidence_power,smoothing_alpha,use_vol_target,target_vol,vol_lookback,n_days,mean_position_pct,median_position_pct,mean_raw_position,mean_position,mean_confidence,mean_turnover,mean_vol_scalar,active_days_fraction,long_days_fraction,short_days_fraction,hit_rate,gross_ann_return,net_ann_return,buy_hold_ann_return,gross_vol,net_vol,buy_hold_vol,gross_sharpe,net_sharpe,buy_hold_sharpe,gross_max_drawdown,net_max_drawdown,buy_hold_max_drawdown,gross_growth,net_growth,buy_hold_growth,sharpe_improvement,drawdown_improvement
ES1 INDEX,5,baseline_tilt,0.5,0.2,False,,,6109,65.63266845288418,75.48004304839097,0.6566118309004185,0.6563266845288417,0.4521589271561873,0.00757515961593706,1.0,1.0,1.0,0.0,0.5266000982157473,0.048285761236796114,0.0480948672144745,0.08059549533213851,0.09168292066034921,0.09168282600809703,0.1835147402534999,0.5266603734808659,0.5245788039978935,0.4391772302366945,-0.2039853251499122,-0.20431751539341048,-0.5756224521793667,3.22375390541951,3.2088699178887636,7.055455271801858,0.08540157376119895,0.3713049367859562
ES1 INDEX,10,baseline_tilt,0.5,0.2,False,,,6109,65.6203113359217,75.46707065229037,0.656488241290554,0.6562031133592169,0.45208031025464124,0.0075755898568034795,1.0,1.0,1.0,0.0,0.5266000982157473,0.048274908528738336,0.04808400366434688,0.08059549533213851,0.09165719298525447,0.09165709670083214,0.1835147402534999,0.5266897987646715,0.5246075360786585,0.4391772302366945,-0.20358453447752245,-0.20391731257070467,-0.5756224521793667,3.2229058729953417,3.2080249576295246,7.055455271801858,0.08543030584196398,0.371705139608662
ES1 INDEX,21,baseline_tilt,0.5,0.2,False,,,6109,65.5923054414562,75.4413614997066,0.6562088157173407,0.6559230544145622,0.4517843555910387,0.007574236226910695,1.0,1.0,1.0,0.0,0.5266000982157473,0.04830197280907176,0.048111102056153605,0.08059549533213851,0.09160007399442761,0.09159998135316516,0.1835147402534999,0.5273136876724592,0.5252304787122226,0.4391772302366945,-0.20268090295700425,-0.2030145915452638,-0.5756224521793667,3.225021096025004,3.2101330687386285,7.055455271801858,0.08605324847552809,0.3726078606341029
FV1 COMDTY,5,baseline_tilt,0.5,0.2,False,,,6109,57.71190924530178,67.03866926913481,0.5767644631713825,0.5771190924530177,0.46349262457505686,0.007851375190565866,1.0,1.0,1.0,0.0,0.4801113111802259,0.00926706178188551,0.009069207127083251,0.010958994576650442,0.024417865670094366,0.024417264718783808,0.03804378407366031,0.3795197298196004,0.37142600662008046,0.28806268470643337,-0.07091546845628294,-0.07203102756147417,-0.18085234818302598,1.251887860156546,1.245897675993435,1.30430279634686,0.08336332191364709,0.10882132062155181
FV1 COMDTY,10,baseline_tilt,0.5,0.2,False,,,6109,57.70959356038223,67.01805611546419,0.576741422326442,0.5770959356038222,0.46344527794782925,0.007850025268407728,1.0,1.0,1.0,0.0,0.4801113111802259,0.0092677327913795,0.009069912154615622,0.010958994576650442,0.02441958034540616,0.024418981163676492,0.03804378407366031,0.379520559333566,0.37142877066907354,0.28806268470643337,-0.07091381675527952,-0.07202886893017224,-0.18085234818302598,1.2519082243497888,1.2459189702140185,1.30430279634686,0.08336608596264017,0.10882347925285374
FV1 COMDTY,21,baseline_tilt,0.5,0.2,False,,,6109,57.70655922521216,66.99363433586385,0.5767114237777935,0.5770655922521215,0.46331568068169315,0.007846646780065532,1.0,1.0,1.0,0.0,0.4801113111802259,0.009271147677743024,0.00907341217888537,0.010958994576650442,0.02442557373667844,0.02442497835075875,0.03804378407366031,0.37956724282881793,0.3714808688296548,0.28806268470643337,-0.07089795605834937,-0.07201314009358106,-0.18085234818302598,1.252011866474972,1.246024688195699,1.30430279634686,0.08341818412322144,0.10883920808944492
HG1 COMDTY,5,baseline_tilt,0.5,0.2,False,,,6109,55.923835693232036,63.93999689541533,0.5593034531178827,0.5592383569323204,0.4491546380400772,0.008624880784495447,1.0,1.0,1.0,0.0,0.49107873629071863,0.0533870551733059,0.05316970817753662,0.07400549149795524,0.1678264876934375,0.16782647647024906,0.27194350052328353,0.31810863652718563,0.31681358803336446,0.2721355404911358,-0.4250550250136437,-0.42630388856606594,-0.686483501773643,3.6481215130861018,3.6289503311728,6.0137338207686994,0.04467804754222865,0.2601796132075771
HG1 COMDTY,10,baseline_tilt,0.5,0.2,False,,,6109,55.92817101277532,63.881601385051155,0.5593466691638542,0.5592817101277533,0.4491314910751498,0.008590126409923122,1.0,1.0,1.0,0.0,0.49107873629071863,0.05377071432892084,0.053554243143390766,0.07400549149795524,0.16784249959142272,0.16784250490553457,0.27194350052328353,0.32036411790705177,0.3190743797200373,0.2721355404911358,-0.4241950706609693,-0.4254475634575605,-0.686483501773643,3.6822098356640325,3.6629372854157594,6.0137338207686994,0.04693883922890152,0.2610359383160825
HG1 COMDTY,21,baseline_tilt,0.5,0.2,False,,,6109,55.939082444791985,63.9079664507304,0.5594556924801902,0.55939082444792,0.4504825087831928,0.00857340851724283,1.0,1.0,1.0,0.0,0.49107873629071863,0.05414281760239789,0.053926767707763376,0.07400549149795524,0.1678594845023598,0.16785948308352733,0.27194350052328353,0.32254845630505163,0.32126137122041104,0.2721355404911358,-0.42633960877245325,-0.4275920855452524,-0.686483501773643,3.715575660764422,3.6961662236276216,6.0137338207686994,0.04912583072927523,0.2588914162283906
NK1 INDEX,5,baseline_tilt,0.5,0.2,False,,,6109,61.02949763617537,69.91105507859689,0.6107180084553452,0.6102949763617537,0.4291927951665642,0.00828846128519044,1.0,1.0,1.0,0.0,0.4884596496971681,0.05509173257846281,0.05488286335407601,0.09231518308122985,0.1286755079824025,0.12867533523528532,0.23067003322062826,0.42814466748401797,0.42652201568949977,0.40020449033764793,-0.32199162080796695,-0.3230462337571287,-0.6110865724381629,3.802038153218252,3.782835490004691,9.37372469000158,0.026317525351851834,0.2880403386810342
